"Month","DayofMonth","DayOfWeek","DepTime","UniqueCarrier","Origin","Dest","Distance","dep_delayed_15min"
"12","20","2",1640,"OH","IAD","JFK",228,"N"
"4","14","5",1725,"NW","DTW","LAX",1979,"N"
"8","3","3",1006,"MQ","ORD","CMI",135,"N"
"12","15","4",1815,"WN","LAS","IND",1591,"Y"
"11","20","1",613,"MQ","PIT","DFW",1068,"N"
"6","25","6",555,"CO","IND","IAH",845,"N"
"1","10","1",1135,"EV","AGS","ATL",143,"N"
"12","3","7",1112,"YV","JAC","DEN",406,"N"
"7","26","2",1710,"WN","OAK","LAX",337,"Y"
"4","27","4",1406,"AA","SMF","DFW",1431,"N"
"2","6","7",958,"CO","RSW","EWR",1068,"N"
"12","27","3",915,"OH","CVG","PBI",892,"Y"
"11","9","4",1132,"WN","STL","MCO",880,"N"
"9","5","2",2002,"AS","OTZ","OME",183,"N"
"11","5","6",1400,"WN","BNA","JAX",484,"N"
"7","9","7",918,"AA","STL","SAT",786,"N"
"8","7","7",1203,"WN","LAX","SJC",308,"N"
"7","1","5",1550,"CO","MIA","EWR",1086,"Y"
"12","21","4",1303,"DL","PDX","ATL",2172,"N"
"12","17","7",1420,"NW","PDX","MSP",1426,"N"
"12","27","2",902,"DL","JFK","FLL",1069,"N"
"7","9","7",631,"UA","SMF","ORD",1781,"N"
"8","21","7",1327,"AA","DEN","ORD",888,"Y"
"6","8","3",839,"MQ","DFW","SGF",364,"N"
"3","9","4",814,"DL","LGA","ATL",761,"N"
"9","20","2",753,"US","PHL","PIT",267,"N"
"2","1","2",632,"TZ","DCA","MDW",601,"N"
"12","17","7",1926,"FL","MDW","MCO",989,"N"
"5","6","6",1341,"MQ","OMA","ORD",416,"N"
"9","1","5",1829,"NW","BWI","MSP",936,"N"
"12","8","4",1009,"US","TPA","CLT",508,"N"
"4","27","3",1115,"US","PVD","DCA",357,"N"
"5","3","3",1319,"UA","EWR","ORD",719,"N"
"1","18","2",1424,"UA","DEN","SFO",967,"N"
"4","10","7",859,"DL","MSP","ATL",906,"N"
"10","24","2",629,"EV","TYS","ATL",152,"N"
"4","10","7",1304,"NW","LAS","MKE",1524,"N"
"7","19","2",1650,"WN","PVD","MCO",1073,"N"
"6","26","7",858,"AS","SJC","SEA",697,"N"
"8","27","6",722,"OO","SBA","LAX",89,"N"
"6","19","7",749,"OH","CVG","RIC",413,"N"
"1","17","1",745,"AA","LAX","MCO",2217,"N"
"10","26","4",1230,"NW","SEA","DTW",1927,"N"
"12","8","5",934,"WN","OKC","DAL",181,"N"
"11","3","5",1435,"MQ","PNS","DFW",604,"N"
"11","10","4",1514,"AS","ANC","ADQ",252,"N"
"11","4","5",1041,"XE","IAH","TUL",429,"Y"
"2","28","1",1250,"WN","PHX","LAS",256,"N"
"9","27","2",910,"EV","ATL","GTR",241,"N"
"10","14","6",1913,"EV","ATL","BTV",960,"N"
"9","20","2",1615,"AA","ATL","DFW",732,"N"
"1","9","1",1000,"WN","DAL","ABQ",580,"N"
"1","11","3",1611,"NW","AUS","MEM",559,"N"
"5","9","1",1020,"WN","GEG","BOI",287,"N"
"1","13","5",812,"DL","ATL","BOS",946,"N"
"3","1","2",1717,"NW","GRR","DTW",120,"N"
"3","31","5",1940,"AS","LAX","SEA",954,"Y"
"2","14","2",625,"WN","LAS","ABQ",487,"N"
"6","16","4",1446,"TZ","BOS","MDW",861,"N"
"10","8","7",756,"MQ","ORD","FWA",157,"N"
"5","30","1",1021,"AA","ORD","LAX",1745,"N"
"11","18","5",855,"US","DCA","CLT",331,"N"
"10","21","6",1015,"YV","MHT","IAD",418,"N"
"6","8","3",1237,"MQ","LGA","CLE",418,"N"
"7","2","6",2037,"DL","ATL","PHX",1587,"N"
"10","13","5",822,"WN","AUS","MAF",294,"N"
"3","21","2",606,"DL","PNS","ATL",272,"N"
"9","12","2",940,"HA","KOA","HNL",163,"N"
"12","21","3",1126,"XE","IAH","GSP",838,"N"
"10","23","1",2056,"US","FLL","LAS",2174,"N"
"5","3","2",835,"WN","HOU","JAN",359,"N"
"4","30","7",920,"US","CLT","SFO",2296,"N"
"6","13","2",850,"UA","SFO","PDX",550,"N"
"5","20","5",1515,"FL","ATL","DFW",732,"N"
"2","3","5",1507,"AA","DFW","OKC",175,"N"
"5","26","5",1702,"YV","IAD","GSP",383,"N"
"11","13","1",901,"WN","DAL","LBB",293,"N"
"8","22","1",1054,"MQ","LGA","DCA",214,"N"
"2","22","3",1958,"WN","RSW","ISP",1101,"Y"
"1","4","2",700,"WN","PHX","LAS",256,"N"
"9","26","1",1805,"AA","MIA","TPA",204,"N"
"4","2","7",1659,"UA","PHL","DEN",1557,"N"
"3","22","3",1511,"AA","ORD","LGA",733,"N"
"8","9","3",1614,"MQ","BOS","DCA",399,"Y"
"3","18","5",1907,"CO","CLE","RSW",1025,"N"
"5","26","5",1846,"US","LAX","LAS",236,"N"
"5","8","7",1228,"B6","MCO","JFK",944,"N"
"3","12","7",630,"YV","CLT","ORD",599,"Y"
"5","12","5",1131,"AA","LGA","MIA",1097,"Y"
"1","17","2",1447,"NW","MSN","MSP",228,"N"
"9","17","6",954,"AA","MCI","DFW",460,"N"
"5","13","6",1720,"B6","IAD","FLL",901,"Y"
"12","12","1",2054,"OO","SLC","SGU",269,"N"
"6","1","3",1810,"EV","AVP","ATL",714,"Y"
"11","2","3",1228,"B6","FLL","LGA",1076,"N"
"3","15","2",1552,"UA","ORD","EWR",719,"N"
"7","15","5",1900,"WN","AUS","DAL",189,"Y"
"2","17","5",620,"XE","MSP","EWR",1008,"N"
"1","27","4",2204,"DL","CVG","RSW",879,"Y"
"6","25","6",1242,"US","CLT","JAX",329,"N"
"4","11","2",900,"XE","CLE","BNA",448,"N"
"6","18","7",2003,"OO","ORD","FAR",557,"N"
"7","16","7",1531,"NW","DTW","PHL",453,"N"
"2","17","4",646,"AS","PDX","SAN",933,"N"
"3","30","3",1257,"XE","IAH","HSV",595,"N"
"11","22","3",850,"NW","DTW","LAS",1750,"N"
"11","27","1",910,"OO","SNA","LAX",36,"N"
"11","23","4",718,"WN","MCI","LAX",1363,"N"
"4","19","3",841,"NW","CLT","MSP",930,"N"
"4","16","6",1327,"AA","MIA","JFK",1090,"N"
"10","25","3",1015,"AQ","KOA","HNL",163,"N"
"11","26","7",1014,"WN","OAK","HOU",1642,"Y"
"5","4","3",1630,"WN","BUR","OAK",325,"N"
"2","6","7",2008,"AS","SJC","SEA",697,"Y"
"2","19","7",1724,"NW","DTW","MSP",528,"Y"
"9","29","4",1112,"MQ","ORD","TYS",475,"N"
"12","22","4",1142,"UA","SFO","EWR",2565,"N"
"12","8","4",845,"WN","LAS","LAX",236,"N"
"7","23","7",2345,"AA","MIA","SJU",1045,"Y"
"8","8","2",1130,"AA","DFW","BNA",631,"N"
"7","18","1",1542,"NW","MSY","MEM",349,"N"
"6","26","1",1228,"MQ","DFW","TUL",237,"N"
"12","28","3",1013,"CO","EWR","MDW",711,"N"
"2","23","3",931,"MQ","DFW","TYS",772,"Y"
"1","6","4",650,"DH","TPA","GSP",478,"N"
"6","9","4",2009,"MQ","MIA","CLE",1080,"N"
"6","8","3",1823,"NW","MEM","CMH",518,"N"
"11","11","5",1616,"US","PHL","LAS",2176,"Y"
"2","17","5",1243,"OH","CVG","MEM",403,"N"
"6","23","5",1920,"YV","CLT","ILM",185,"Y"
"6","27","1",629,"AA","SAN","STL",1558,"N"
"10","27","5",1627,"EV","CLE","ATL",554,"Y"
"12","2","5",1527,"FL","MDW","ATL",590,"N"
"7","3","7",1122,"NW","MSP","STL",449,"N"
"8","5","5",748,"FL","FLL","BWI",925,"N"
"5","4","4",1235,"WN","LAS","LAX",236,"N"
"6","25","7",2109,"FL","MYR","ATL",317,"Y"
"2","25","6",828,"AA","DFW","LAX",1235,"N"
"10","23","1",2015,"WN","ONT","LAS",197,"Y"
"10","6","4",2155,"AA","SFO","JFK",2586,"N"
"5","5","4",1936,"DL","RSW","ATL",515,"N"
"12","27","2",2015,"NW","MCO","MKE",1066,"N"
"10","29","6",600,"UA","SEA","ORD",1721,"N"
"6","28","2",1032,"DH","IAD","JFK",228,"N"
"11","6","1",1558,"XE","IAH","LRD",301,"Y"
"12","15","4",1755,"WN","MDW","DTW",229,"Y"
"1","31","1",2301,"OH","CVG","HTS",123,"N"
"11","30","4",1907,"MQ","ORD","SWF",714,"N"
"9","25","7",1110,"CO","PHX","CLE",1737,"N"
"1","20","4",905,"WN","LAS","SAN",258,"N"
"12","29","5",555,"EV","CRW","ATL",363,"N"
"9","18","7",1911,"DL","ATL","PHX",1587,"N"
"12","17","7",1932,"MQ","LGA","RDU",431,"Y"
"4","1","5",1557,"XE","IAH","STL",668,"N"
"2","17","5",853,"HA","KOA","HNL",163,"N"
"8","27","7",707,"WN","BDL","PHL",196,"N"
"5","27","5",1242,"MQ","ORD","GRB",174,"Y"
"6","22","4",631,"WN","SAN","PHX",304,"N"
"2","23","4",556,"NW","DFW","MSP",852,"N"
"1","31","1",735,"WN","IND","LAS",1591,"N"
"7","11","1",1330,"WN","OAK","LAS",407,"N"
"12","1","4",1155,"OH","DCA","CMH",322,"N"
"11","22","3",1923,"YV","MDT","ORD",594,"Y"
"12","28","4",829,"B6","JFK","CMH",483,"N"
"6","16","4",1926,"US","CLT","CLE",430,"N"
"2","15","3",1430,"WN","IND","PHX",1489,"N"
"4","22","6",643,"MQ","BTR","DFW",383,"N"
"10","19","4",1820,"MQ","DFW","LIT",304,"Y"
"6","18","7",34,"NW","SFO","MSP",1589,"N"
"3","2","4",2219,"AA","MIA","MCO",193,"Y"
"6","23","4",1252,"OO","SLC","RNO",422,"N"
"10","22","7",628,"DL","ATL","DCA",547,"N"
"8","15","2",1007,"OO","ORD","PIA",130,"N"
"8","9","2",1208,"XE","ORD","IAH",925,"N"
"6","26","7",907,"XE","EWR","DAB",884,"N"
"4","7","5",700,"CO","EWR","SFO",2565,"N"
"6","9","5",2025,"AA","DFW","COS",592,"N"
"12","10","6",1120,"WN","BWI","BHM",682,"N"
"9","8","5",2115,"OH","JFK","BUF",301,"Y"
"5","22","1",805,"OO","SLC","SEA",689,"N"
"4","24","7",2008,"DH","IAD","JAX",631,"Y"
"1","5","3",1710,"OH","CHS","LGA",641,"N"
"9","13","3",2039,"AA","ORD","BOS",867,"Y"
"3","19","6",1919,"DL","CVG","RIC",413,"N"
"8","31","3",745,"OO","LAX","SLC",590,"N"
"11","16","3",936,"OO","OXR","LAX",49,"N"
"3","5","7",1703,"CO","EWR","MDW",711,"Y"
"9","8","4",1545,"UA","ORD","DTW",235,"N"
"3","2","4",2120,"WN","HOU","SAT",192,"Y"
"8","27","7",1437,"CO","SAN","IAH",1303,"N"
"8","4","4",914,"DH","BNA","IAD",542,"N"
"10","5","3",539,"US","BOS","DCA",399,"N"
"3","15","3",730,"MQ","BOS","LGA",185,"Y"
"12","13","2",637,"CO","TPA","IAH",787,"N"
"3","11","5",857,"MQ","BOS","RDU",612,"N"
"9","15","5",1533,"OO","BUR","SFO",326,"N"
"11","14","1",1359,"MQ","DFW","LRD",394,"Y"
"7","25","2",1051,"WN","DAL","HOU",239,"Y"
"8","31","4",801,"XE","LBB","IAH",458,"N"
"10","14","5",1730,"OH","CVG","CAK",214,"N"
"1","10","1",2306,"OO","SFO","RDD",199,"Y"
"6","7","3",1131,"DL","ATL","PHX",1587,"N"
"2","1","2",1907,"NW","MSP","IND",503,"N"
"1","17","2",810,"AA","ORD","SAT",1041,"N"
"4","9","6",1557,"UA","ORD","LGA",733,"N"
"5","29","1",1240,"OO","SMF","SFO",86,"N"
"2","25","5",1648,"OO","SLC","RAP",508,"Y"
"8","18","5",641,"XE","IAH","MSY",305,"N"
"5","6","6",2231,"US","OGG","PHX",2845,"N"
"6","13","1",1744,"AS","SEA","DEN",1024,"Y"
"4","15","5",1725,"CO","MSY","IAH",305,"N"
"2","28","1",1325,"XE","CRP","IAH",201,"N"
"1","14","5",1054,"OO","SBP","LAX",155,"N"
"9","3","7",939,"WN","MDW","OAK",1844,"N"
"7","2","6",852,"NW","BIL","MSP",748,"N"
"2","18","5",1543,"OO","IAH","CLL",74,"N"
"9","11","7",658,"NW","SDF","MSP",603,"N"
"3","3","5",1900,"WN","LAX","MCI",1363,"N"
"8","29","2",646,"OO","PDX","SEA",129,"N"
"9","20","2",1701,"US","PIT","PHL",267,"N"
"4","8","5",1116,"OH","TUL","CVG",646,"N"
"7","11","2",602,"MQ","PIT","ORD",412,"N"
"10","17","2",1754,"WN","ABQ","LAS",487,"N"
"12","25","1",910,"NW","LGA","DTW",501,"N"
"4","11","2",858,"AQ","HNL","LIH",102,"N"
"7","21","4",1718,"US","PHL","PIT",267,"Y"
"4","11","2",1300,"EV","HSV","ATL",151,"N"
"11","11","5",1151,"AA","MIA","BOS",1258,"N"
"5","20","5",807,"AA","ORD","LGA",733,"N"
"3","15","3",1716,"NW","DTW","MEM",610,"N"
"12","10","7",1814,"UA","SFO","DEN",967,"N"
"5","6","5",648,"AA","SNA","ORD",1726,"N"
"11","18","5",1919,"OO","ORD","SAV",773,"Y"
"9","4","7",1140,"UA","FLL","ORD",1182,"Y"
"1","14","5",713,"AA","MCO","DFW",984,"N"
"3","11","5",820,"TZ","MDW","DFW",797,"N"
"10","20","4",1204,"DL","DCA","ATL",547,"N"
"2","14","1",1400,"WN","LAX","PHX",370,"N"
"1","20","4",2017,"MQ","SNA","SJC",342,"N"
"5","25","3",2245,"WN","CMH","MDW",284,"Y"
"10","27","4",1830,"UA","IAD","PDX",2327,"N"
"3","22","3",1705,"OH","BOS","JFK",187,"N"
"8","9","2",2121,"DL","ATL","CMH",446,"Y"
"12","15","4",1706,"B6","BOS","LGB",2602,"Y"
"7","6","4",919,"XE","DTW","EWR",487,"N"
"5","3","2",1700,"WN","FLL","MDW",1166,"N"
"9","17","7",1150,"OH","MEM","CVG",403,"N"
"8","15","1",1619,"FL","ATL","MSP",906,"N"
"6","10","5",1511,"HA","HNL","LIH",102,"N"
"8","9","2",1111,"OO","CEC","SFO",304,"Y"
"8","6","7",1209,"WN","PHX","BNA",1448,"N"
"7","18","1",1700,"US","ATL","PHL",665,"Y"
"11","29","3",2101,"WN","SMF","SAN",480,"N"
"4","11","1",2025,"HP","OAK","LAS",407,"N"
"6","23","4",2025,"WN","DAL","HOU",239,"Y"
"4","19","3",755,"WN","BUR","OAK",325,"N"
"7","12","2",955,"WN","BWI","SAN",2295,"N"
"6","6","2",1030,"WN","LAX","MDW",1750,"N"
"6","5","1",841,"CO","EWR","DFW",1372,"N"
"7","7","4",1600,"NW","ORF","DTW",529,"N"
"2","10","5",842,"B6","BOS","RSW",1249,"N"
"10","17","2",657,"DL","FLL","ATL",581,"N"
"6","12","1",1825,"WN","JAN","MDW",666,"N"
"9","30","6",924,"OH","CVG","MSY",700,"N"
"11","16","4",1131,"WN","LAX","OAK",337,"N"
"8","12","5",554,"UA","ORD","LGA",733,"N"
"4","7","5",1445,"OH","CVG","FSD",701,"N"
"4","29","5",1533,"XE","EWR","BWI",169,"N"
"9","1","5",1952,"WN","OAK","SLC",588,"Y"
"5","12","5",2050,"WN","LAS","MDW",1521,"Y"
"6","11","7",1257,"NW","MSP","JFK",1028,"N"
"8","24","3",549,"XE","BTR","IAH",253,"N"
"5","20","6",1100,"WN","MCO","BWI",787,"N"
"12","4","7",1548,"WN","HRL","HOU",276,"N"
"4","22","6",1353,"NW","LAS","MSP",1300,"N"
"7","31","1",1059,"CO","PHX","EWR",2133,"N"
"10","1","7",1014,"MQ","ORD","LSE",215,"N"
"1","25","3",1924,"NW","MSP","MEM",700,"Y"
"4","16","6",900,"AS","PSP","SEA",987,"N"
"7","17","7",1528,"XE","IAH","MCI",643,"Y"
"4","4","1",943,"OH","CVG","CID",419,"N"
"6","18","6",1844,"MQ","HSV","ORD",510,"N"
"6","13","2",1323,"UA","DEN","SMF",910,"N"
"4","24","1",900,"WN","BHM","SDF",323,"N"
"11","8","2",645,"AA","DFW","DTW",987,"N"
"4","29","6",812,"OO","SFO","SMF",86,"N"
"1","6","5",1720,"OH","CVG","EVV",170,"N"
"8","19","5",627,"AA","HSV","DFW",603,"N"
"7","21","5",1428,"FL","ATL","JAX",270,"N"
"4","14","5",928,"XE","LIT","IAH",374,"N"
"7","31","1",942,"MQ","EWR","BOS",200,"N"
"5","29","7",1850,"OH","GSO","LGA",461,"N"
"10","21","5",1849,"XE","CLE","ORD",316,"N"
"12","24","7",1139,"WN","BNA","CLE",448,"N"
"9","16","5",1133,"DL","ATL","SAV",215,"Y"
"2","7","1",1549,"DL","ATL","BTR",449,"N"
"1","3","2",2211,"OH","CVG","ROC",461,"Y"
"11","16","4",2106,"AA","DFW","PDX",1616,"N"
"9","6","3",1455,"FL","SAV","ATL",215,"N"
"2","26","7",825,"YV","DRO","PHX",351,"N"
"5","7","7",1945,"WN","MDW","LAX",1750,"N"
"1","20","5",2128,"US","CLT","JAX",329,"N"
"11","27","1",1513,"XE","IAH","BTR",253,"N"
"3","30","3",1557,"OH","CVG","ACY",542,"Y"
"12","5","1",1749,"DH","PVD","IAD",372,"Y"
"7","6","4",858,"AQ","LIH","HNL",102,"N"
"9","24","7",1138,"CO","IAH","MCI",643,"N"
"10","27","5",2232,"MQ","ORD","CMI",135,"Y"
"8","3","4",1225,"EV","DHN","ATL",171,"Y"
"4","20","3",2140,"AA","LIH","LAX",2615,"N"
"6","9","5",803,"MQ","DFW","TUL",237,"N"
"7","19","3",539,"OO","RDD","SFO",199,"N"
"4","23","7",1020,"DL","LAX","MCO",2217,"N"
"10","28","6",832,"AA","ORD","MSY",837,"N"
"10","2","7",1315,"OH","CVG","FWA",136,"Y"
"11","17","5",1458,"DL","CVG","TPA",773,"N"
"11","1","2",1702,"DH","BDL","IAD",326,"N"
"5","16","1",1504,"MQ","RDU","STL",667,"N"
"3","19","7",1351,"OO","LAS","FAT",258,"Y"
"4","11","1",645,"AA","RDU","DFW",1062,"N"
"1","7","6",2159,"US","CLT","PHL",448,"Y"
"10","20","4",915,"AA","DFW","LAX",1235,"N"
"8","25","5",1725,"AS","PSP","SFO",421,"Y"
"2","16","4",1932,"MQ","DFW","SBA",1315,"Y"
"11","2","3",1238,"CO","IAH","SNA",1347,"N"
"5","25","3",1600,"MQ","SJC","LAX",308,"N"
"12","19","1",1158,"OH","CHS","ATL",259,"Y"
"6","1","3",1425,"FL","ATL","RDU",356,"N"
"8","8","1",153,"XE","DEN","IAH",861,"N"
"9","29","5",1011,"AA","DFW","EWR",1372,"N"
"11","26","6",1602,"HP","LAS","PHX",256,"N"
"11","10","4",1417,"OO","BNA","DEN",1013,"N"
"12","30","5",1500,"OH","CVG","CHS",497,"N"
"9","3","7",1555,"WN","SAN","SJC",417,"N"
"1","22","6",2204,"NW","MSP","MSN",228,"N"
"8","1","1",1403,"OO","CDC","SLC",221,"N"
"3","14","1",1320,"WN","MDW","PHL",668,"N"
"8","14","1",1807,"AA","PHL","ORD",678,"N"
"12","3","6",1418,"OH","CVG","MEM",403,"N"
"1","9","1",1659,"AA","MIA","BOS",1258,"Y"
"10","19","3",1541,"XE","IAH","MSP",1034,"N"
"11","15","2",642,"B6","JFK","OAK",2576,"N"
"3","5","6",104,"AA","ONT","DFW",1189,"N"
"1","15","6",1810,"AA","ORD","IND",177,"N"
"1","6","4",1300,"EV","ATL","CAK",528,"Y"
"2","7","1",1132,"DL","SAN","ATL",1891,"N"
"9","9","5",1222,"FL","MCO","PHF",662,"N"
"7","1","6",1057,"UA","LAX","DEN",862,"N"
"6","5","1",2348,"DL","LAX","CVG",1900,"N"
"3","19","6",1134,"XE","GSO","EWR",446,"N"
"12","20","3",1010,"WN","HOU","MCO",848,"Y"
"4","19","2",847,"DL","SAN","ATL",1891,"N"
"12","15","4",5,"HP","LAS","LAX",236,"N"
"2","4","6",1847,"MQ","MCO","RDU",534,"Y"
"11","4","6",1127,"UA","BOS","IAD",413,"Y"
"8","22","2",1207,"NW","MCO","IND",828,"N"
"1","13","5",1031,"AA","SFO","LAX",337,"N"
"10","12","3",1700,"WN","LAS","CLE",1825,"N"
"2","19","7",1833,"WN","ELP","LAX",714,"Y"
"8","22","2",1830,"XE","BRO","IAH",308,"Y"
"4","25","2",1924,"WN","BDL","TPA",1111,"N"
"3","2","3",1850,"EV","SLC","STL",1156,"N"
"5","27","5",1638,"HP","PHX","SNA",338,"Y"
"9","6","3",553,"YV","EUG","PHX",952,"N"
"12","12","1",825,"UA","IAD","DEN",1452,"N"
"7","23","7",1520,"NW","DTW","MCI",629,"N"
"8","8","2",1924,"MQ","BOS","EWR",200,"N"
"8","9","2",1953,"US","CLT","LAX",2125,"Y"
"6","18","6",1758,"XE","IAH","HRL",295,"N"
"4","5","3",1832,"US","PHL","MCO",861,"N"
"9","1","4",1346,"CO","DFW","EWR",1372,"Y"
"10","3","2",1315,"OO","SLC","OKC",866,"N"
"4","4","1",556,"US","BWI","PHL",90,"N"
"4","5","2",1925,"AS","SFO","PDX",550,"Y"
"4","25","2",1357,"UA","ORD","DCA",612,"N"
"5","23","1",921,"DL","ATL","CLT",227,"N"
"5","5","5",1950,"WN","HOU","PHL",1335,"Y"
"1","16","1",1420,"OO","MFR","SFO",329,"N"
"6","8","4",932,"CO","IAH","TUS",936,"N"
"8","9","2",1121,"DL","SLC","BOI",291,"N"
"3","9","3",1519,"AA","LAX","JFK",2475,"N"
"10","5","3",1429,"FL","BOS","CAK",549,"Y"
"2","3","5",1510,"WN","BUR","LAS",223,"N"
"6","6","2",854,"B6","IAD","LGB",2277,"N"
"5","20","5",1835,"WN","LAX","TUS",451,"Y"
"3","5","7",1805,"YV","ORD","CAE",666,"N"
"1","14","6",1929,"US","CLT","BOS",728,"N"
"11","29","3",908,"US","DCA","MCO",759,"Y"
"10","11","3",646,"AQ","RNO","SNA",415,"N"
"4","28","4",2146,"NW","DTW","LGA",501,"Y"
"8","8","1",910,"OH","CVG","JAN",555,"N"
"5","6","6",2105,"B6","LGB","SMF",387,"N"
"7","30","7",1132,"UA","PHL","DEN",1557,"Y"
"1","19","4",1805,"OH","DTW","CVG",229,"N"
"6","27","1",1639,"XE","CLE","DCA",310,"N"
"5","21","6",555,"UA","TPA","IAD",810,"N"
"8","21","7",1803,"DL","BWI","CVG",430,"N"
"2","2","3",720,"WN","DTW","PHX",1671,"N"
"5","29","1",718,"WN","MCO","RDU",534,"N"
"7","6","4",1237,"WN","GEG","LAS",806,"N"
"6","7","2",1058,"DL","FLL","BOS",1237,"N"
"12","19","1",1515,"WN","MCI","TPA",1048,"N"
"2","22","2",1931,"US","TPA","PHL",920,"N"
"3","8","2",1512,"XE","CLE","RIC",362,"N"
"10","19","4",625,"EV","SGF","ATL",563,"N"
"3","23","4",1245,"CO","EGE","EWR",1725,"N"
"4","28","5",1636,"DL","JFK","FLL",1069,"N"
"12","1","4",2240,"UA","SFO","LAS",414,"Y"
"7","7","4",1258,"MQ","GSO","DFW",999,"N"
"11","21","2",1553,"NW","DTW","PHX",1671,"Y"
"1","15","6",1920,"EV","VLD","ATL",208,"N"
"5","8","7",2308,"OH","CVG","MSP",596,"N"
"12","19","2",2014,"OO","ONT","SFO",363,"Y"
"8","24","4",724,"YV","PHX","PSP",261,"N"
"12","26","2",1039,"DL","JAX","ATL",270,"N"
"7","29","5",1120,"WN","SDF","BWI",495,"N"
"3","12","7",1728,"WN","TUL","HOU",453,"Y"
"2","1","2",1602,"AA","DFW","MCI",460,"N"
"8","11","5",1504,"OO","SFO","SBA",262,"N"
"10","4","3",720,"XE","CLE","IAD",288,"N"
"10","7","6",1325,"UA","ORD","GRR",137,"N"
"1","3","1",1916,"NW","MSP","AZO",426,"N"
"6","21","2",1140,"AA","DFW","DEN",641,"N"
"3","7","2",612,"NW","MCO","MEM",683,"N"
"9","5","1",2014,"HP","JFK","LAS",2248,"N"
"6","15","4",1015,"WN","SJC","PHX",621,"N"
"2","28","1",1039,"UA","SFO","LAS",414,"N"
"4","17","1",1207,"CO","EWR","SJU",1608,"N"
"6","30","4",900,"EV","SLC","LAS",368,"Y"
"7","26","2",741,"DL","CVG","ATL",373,"N"
"6","4","7",929,"NW","MSP","TUS",1298,"N"
"5","21","6",1740,"OH","SBN","CVG",203,"N"
"10","18","2",1840,"WN","BWI","RDU",255,"Y"
"5","10","3",1002,"F9","PHX","DEN",602,"N"
"10","17","1",1544,"CO","SNA","EWR",2433,"N"
"2","26","7",1307,"US","PHX","CMH",1671,"N"
"11","20","7",1803,"CO","MIA","IAH",964,"N"
"4","3","7",1540,"WN","LAS","RDU",2027,"Y"
"1","27","4",939,"AA","DFW","ABQ",569,"N"
"5","17","2",811,"UA","ORD","PHX",1440,"N"
"8","11","5",1120,"YV","CLT","MEM",512,"N"
"4","27","3",552,"UA","DEN","IAD",1452,"N"
"2","20","7",1153,"CO","IAH","MSY",305,"N"
"1","7","5",633,"MQ","EWR","BOS",200,"N"
"10","4","2",1446,"DL","ATL","IAH",689,"N"
"9","8","5",720,"EV","ATL","CAK",528,"N"
"8","14","7",1955,"AA","DFW","BOS",1562,"Y"
"11","11","5",1012,"HP","PHX","ATL",1587,"N"
"10","17","1",1202,"AS","SEA","SMF",605,"N"
"9","2","5",927,"OO","GJT","SLC",217,"N"
"11","25","6",1728,"OH","IAD","CVG",388,"N"
"11","19","7",2046,"OO","SFO","CIC",153,"N"
"7","6","3",1604,"MQ","OMA","ORD",416,"Y"
"6","25","7",1811,"MQ","SAT","DAL",248,"N"
"6","24","5",725,"WN","OKC","STL",462,"N"
"11","10","5",1340,"FL","HPN","MCO",972,"N"
"2","4","5",2145,"HP","PHX","ELP",347,"N"
"12","25","1",1757,"NW","PHL","DTW",453,"N"
"6","17","5",625,"US","BOS","CLT",728,"N"
"8","14","7",1810,"EV","ROA","ATL",357,"N"
"3","15","2",2249,"DL","ATL","MIA",595,"N"
"3","22","3",1400,"WN","MDW","STL",251,"N"
"4","14","5",1039,"CO","IAH","ORD",925,"N"
"12","4","1",1550,"CO","IAH","CLE",1091,"N"
"5","26","4",1325,"MQ","ORD","CMH",296,"N"
"8","24","4",1935,"MQ","MEM","DFW",432,"Y"
"3","25","6",1630,"DL","ATL","DCA",547,"N"
"12","17","7",1052,"MQ","BOS","BGR",201,"N"
"11","1","2",804,"EV","ATL","JFK",760,"N"
"6","28","3",1155,"US","LGA","BOS",185,"N"
"2","1","2",658,"DH","CMH","IAD",299,"N"
"4","12","3",1817,"OH","CVG","OKC",756,"N"
"6","14","2",1545,"WN","BHM","JAX",365,"N"
"11","12","7",1433,"WN","SAN","OAK",446,"N"
"8","18","5",1250,"EV","CRP","ATL",876,"N"
"9","7","4",1652,"FL","ATL","BWI",576,"N"
"8","30","3",948,"MQ","DFW","DAY",861,"Y"
"10","1","6",1231,"DL","FLL","BOS",1237,"N"
"12","26","2",1001,"US","PHL","FLL",992,"N"
"12","20","2",2054,"DL","JFK","TPA",1005,"N"
"12","13","2",1849,"DL","ATL","SEA",2182,"N"
"9","8","4",2005,"WN","HOU","DAL",239,"N"
"2","11","5",1347,"MQ","MSN","ORD",109,"N"
"10","13","5",1620,"AA","LGA","DFW",1389,"N"
"6","17","5",1205,"OH","MCI","CVG",539,"N"
"8","25","4",653,"US","RDU","PHL",336,"N"
"4","1","6",1005,"DL","ORF","ATL",516,"N"
"2","16","4",1448,"NW","MEM","MCI",392,"N"
"12","18","1",2049,"OO","LAN","ORD",179,"N"
"3","23","3",1635,"FL","ATL","FLL",581,"Y"
"2","8","3",805,"WN","MDW","IND",162,"N"
"10","14","6",1632,"DL","FLL","ATL",581,"N"
"9","17","7",1305,"DL","SMF","ATL",2092,"Y"
"10","30","1",859,"NW","DTW","BWI",408,"N"
"7","20","4",2245,"AA","MCO","ORD",1005,"Y"
